"id","latitude","longitude","time","type_crime"
3635,37.8629,-122.259,1455603840,"ASSAULT/BATTERY MISD."
3636,37.8562,-122.271,1455667200,"ASSAULT/BATTERY MISD."
3637,37.8593,-122.289,1455680040,"ASSAULT/BATTERY FEL."
3638,37.8666,-122.297,1455739680,"ASSAULT/BATTERY MISD."
3639,37.8521,-122.274,1455829200,"ASSAULT/BATTERY MISD."
3640,37.8663,-122.263,1455859800,"ASSAULT/BATTERY FEL."
3641,37.869,-122.27,1455910920,"ASSAULT/BATTERY MISD."
3642,37.8712,-122.268,1455927180,"ASSAULT/BATTERY MISD."
3643,37.8736,-122.269,1455955800,"ASSAULT/BATTERY MISD."
3644,37.8677,-122.251,1455958860,"ASSAULT/BATTERY FEL."
3645,37.8527,-122.277,1456000800,"ASSAULT/BATTERY FEL."
3646,37.8676,-122.261,1456034400,"ASSAULT/BATTERY MISD."
3647,37.8818,-122.27,1456041600,"ASSAULT/BATTERY MISD."
3648,37.8692,-122.25,1456041900,"ASSAULT/BATTERY MISD."
3649,37.8694,-122.252,1456044720,"ASSAULT/BATTERY FEL."
3650,37.8535,-122.292,1456077600,"ASSAULT/BATTERY MISD."
3651,37.853,-122.266,1456113060,"ASSAULT/BATTERY MISD."
3652,37.868,-122.264,1456132500,"ASSAULT/BATTERY FEL."
3653,37.8691,-122.299,1456164180,"ASSAULT/BATTERY MISD."
3654,37.8555,-122.273,1456168080,"ASSAULT/BATTERY MISD."
3655,37.8703,-122.268,1456181700,"ASSAULT/BATTERY MISD."
3656,37.8667,-122.259,1456292580,"ASSAULT/BATTERY MISD."
3657,37.8688,-122.273,1456333200,"ASSAULT/BATTERY MISD."
3658,37.8503,-122.271,1456357200,"ASSAULT/BATTERY MISD."
3659,37.8482,-122.276,1456522260,"ASSAULT/BATTERY MISD."
3660,37.8807,-122.302,1456533420,"ASSAULT/BATTERY MISD."
3661,37.8562,-122.26,1456578900,"ASSAULT/BATTERY MISD."
3662,37.8643,-122.265,1456603200,"ASSAULT/BATTERY MISD."
3663,37.8778,-122.309,1456691400,"ASSAULT/BATTERY MISD."
3664,37.8522,-122.286,1456783200,"ASSAULT/BATTERY MISD."
3665,37.8624,-122.249,1456794000,"ASSAULT/BATTERY MISD."
3666,37.8513,-122.273,1456887000,"ASSAULT/BATTERY MISD."
3667,37.8613,-122.267,1456953300,"ASSAULT/BATTERY MISD."
3668,37.8571,-122.264,1457023500,"ASSAULT/BATTERY MISD."
3669,37.8806,-122.305,1457098200,"ASSAULT/BATTERY MISD."
3670,37.8818,-122.272,1457111100,"ASSAULT/BATTERY MISD."
3671,37.8546,-122.28,1457132100,"ASSAULT/BATTERY MISD."
3672,37.8509,-122.276,1457233200,"ASSAULT/BATTERY MISD."
3673,37.8556,-122.275,1457316420,"ASSAULT/BATTERY FEL."
3674,37.8588,-122.279,1457456400,"ASSAULT/BATTERY MISD."
3675,37.8548,-122.269,1457464380,"ASSAULT/BATTERY MISD."
3676,37.8688,-122.273,1457466420,"ASSAULT/BATTERY MISD."
3677,37.8694,-122.289,1457481600,"ASSAULT/BATTERY MISD."
3678,37.8602,-122.276,1457502900,"ASSAULT/BATTERY MISD."
3679,37.8691,-122.268,1457546940,"ASSAULT/BATTERY MISD."
3680,37.8637,-122.27,1457559000,"ASSAULT/BATTERY FEL."
3681,37.8521,-122.287,1457559000,"ASSAULT/BATTERY MISD."
3682,37.8713,-122.287,1457572800,"ASSAULT/BATTERY MISD."
3683,37.8664,-122.291,1457717100,"ASSAULT/BATTERY FEL."
3684,37.8489,-122.278,1457728920,"ASSAULT/BATTERY MISD."
3685,37.8669,-122.259,1457730240,"ASSAULT/BATTERY MISD."
3686,37.8682,-122.295,1457733600,"ASSAULT/BATTERY MISD."
3687,37.8714,-122.293,1457775000,"ASSAULT/BATTERY FEL."
3688,37.8487,-122.272,1457791200,"ASSAULT/BATTERY MISD."
3689,37.8473,-122.275,1457890260,"ASSAULT/BATTERY MISD."
3690,37.8823,-122.248,1457917020,"ASSAULT/BATTERY FEL."
3691,37.8522,-122.291,1458000300,"ASSAULT/BATTERY MISD."
3692,37.8669,-122.259,1458000600,"ASSAULT/BATTERY MISD."
3693,37.8717,-122.293,1458066300,"ASSAULT/BATTERY FEL."
3694,37.8548,-122.269,1458092700,"ASSAULT/BATTERY FEL."
3695,37.8528,-122.268,1458115440,"ASSAULT/BATTERY FEL."
3696,37.8691,-122.27,1458184500,"ASSAULT/BATTERY MISD."
3697,37.8709,-122.277,1458237600,"ASSAULT/BATTERY MISD."
3698,37.8584,-122.267,1458321180,"ASSAULT/BATTERY MISD."
3699,37.8582,-122.269,1458352800,"ASSAULT/BATTERY MISD."
3700,37.8575,-122.26,1458373860,"ASSAULT/BATTERY MISD."
3701,37.8736,-122.269,1458401520,"ASSAULT/BATTERY MISD."
3702,37.8754,-122.258,1458516600,"ASSAULT/BATTERY MISD."
3703,37.8704,-122.282,1458532320,"ASSAULT/BATTERY MISD."
3704,37.8759,-122.289,1458540900,"ASSAULT/BATTERY FEL."
3705,37.8667,-122.259,1458593940,"ASSAULT/BATTERY MISD."
